,SAC 0,Exports,SJR,DICU,Vern EC,SF_Tide,DXC
1940-02-24,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,6.5065999031066895,0.0
1940-02-25,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,5.821400165557861,0.0
1940-02-26,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,5.650700092315674,0.0
1940-02-27,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,5.766900062561035,0.0
1940-02-28,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,5.622100353240967,0.0
1940-02-29,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,5.452700138092041,0.0
1940-03-01,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,5.314199924468994,0.0
1940-03-02,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,5.273099899291992,0.0
1940-03-03,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,5.3317999839782715,0.0
1940-03-04,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,5.417200088500977,0.0
1940-03-05,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,5.415799617767334,0.0
1940-03-06,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,5.39810037612915,0.0
1940-03-07,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,5.173700332641602,0.0
1940-03-08,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,4.961899757385254,0.0
1940-03-09,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,4.490900039672852,0.0
1940-03-10,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,4.239200115203857,0.0
1940-03-11,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,4.223399639129639,0.0
1940-03-12,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,4.430699825286865,0.0
1940-03-13,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,4.389800071716309,0.0
1940-03-14,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,4.384799957275391,0.0
1940-03-15,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,4.355000019073486,0.0
1940-03-16,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,4.426700115203857,0.0
1940-03-17,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,4.672900199890137,0.0
1940-03-18,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,5.075900077819824,0.0
1940-03-19,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,5.535300254821777,0.0
1940-03-20,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,5.903600215911865,0.0
1940-03-21,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,6.121799945831299,0.0
1940-03-22,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,6.134599685668945,0.0
1940-03-23,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,5.972300052642822,0.0
1940-03-24,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,6.436800003051758,0.0
1940-03-25,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,6.511600017547607,0.0
1940-03-26,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,6.781900405883789,0.0
1940-03-27,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,6.472899913787842,0.0
1940-03-28,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,6.032299995422363,0.0
1940-03-29,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,5.460000038146973,0.0
1940-03-30,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,4.9079999923706055,0.0
1940-03-31,109245.46960449219,11481.162349700928,11390.4697265625,-859.97021484375,221.6692657470703,4.501399993896484,0.0
1940-04-01,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,4.3321003913879395,0.0
1940-04-02,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,4.409800052642822,0.0
1940-04-03,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,4.431699752807617,0.0
1940-04-04,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,4.3886003494262695,0.0
1940-04-05,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,4.329200267791748,0.0
1940-04-06,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,4.51069974899292,0.0
1940-04-07,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,4.866700172424316,0.0
1940-04-08,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,5.110499858856201,0.0
1940-04-09,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,5.320000171661377,0.0
1940-04-10,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,5.25100040435791,0.0
1940-04-11,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,5.380100250244141,0.0
1940-04-12,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,5.231800079345703,0.0
1940-04-13,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,5.073500156402588,0.0
1940-04-14,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,4.875500202178955,0.0
1940-04-15,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,4.7251996994018555,0.0
1940-04-16,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,4.668300151824951,0.0
1940-04-17,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,5.0092997550964355,0.0
1940-04-18,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,5.356199741363525,0.0
1940-04-19,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,5.491400241851807,0.0
1940-04-20,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,6.126399993896484,0.0
1940-04-21,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,6.947400093078613,0.0
1940-04-22,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,7.335299968719482,0.0
1940-04-23,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,7.46619987487793,0.0
1940-04-24,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,7.191699981689453,0.0
1940-04-25,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,6.930700302124023,0.0
1940-04-26,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,6.198299884796143,0.0
1940-04-27,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,5.367599964141846,0.0
1940-04-28,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,4.585700035095215,0.0
1940-04-29,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,4.2941999435424805,0.0
1940-04-30,45540.05505371094,2972.6100730895996,10236.4013671875,1359.177734375,271.3362121582031,4.1894001960754395,0.0
1940-05-01,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,4.149499893188477,0.0
1940-05-02,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,4.1269001960754395,0.0
1940-05-03,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,4.302799701690674,0.0
1940-05-04,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,4.810100078582764,0.0
1940-05-05,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,5.350300312042236,0.0
1940-05-06,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,5.707600116729736,0.0
1940-05-07,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,6.059100151062012,0.0
1940-05-08,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,6.204200267791748,0.0
1940-05-09,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,6.202400207519531,0.0
1940-05-10,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,6.178800106048584,0.0
1940-05-11,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,6.073400020599365,0.0
1940-05-12,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,5.6875,0.0
1940-05-13,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,5.2017998695373535,0.0
1940-05-14,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,4.978899955749512,0.0
1940-05-15,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,5.042900085449219,0.0
1940-05-16,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,5.058099746704102,0.0
1940-05-17,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,5.152100086212158,0.0
1940-05-18,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,6.155300140380859,0.0
1940-05-19,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,6.983099937438965,0.0
1940-05-20,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,7.569200038909912,0.0
1940-05-21,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,7.859499931335449,0.0
1940-05-22,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,7.7058000564575195,0.0
1940-05-23,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,7.173699855804443,0.0
1940-05-24,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,6.9654998779296875,0.0
1940-05-25,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,6.292200088500977,0.0
1940-05-26,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,5.423300266265869,0.0
1940-05-27,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,4.724400043487549,0.0
1940-05-28,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,4.39870023727417,0.0
1940-05-29,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,4.122900009155273,0.0
1940-05-30,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,3.9361000061035156,0.0
1940-05-31,19204.436248779297,1972.990566253662,6143.0458984375,2599.728271484375,344.7588195800781,4.100599765777588,0.0
1940-06-01,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,4.654099941253662,1.0
1940-06-02,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,5.375400066375732,1.0
1940-06-03,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,5.860599994659424,1.0
1940-06-04,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,6.396299839019775,1.0
1940-06-05,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,6.74530029296875,1.0
1940-06-06,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,6.881799697875977,1.0
1940-06-07,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,6.986999988555908,1.0
1940-06-08,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,6.703199863433838,1.0
1940-06-09,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,6.604899883270264,1.0
1940-06-10,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,6.053199768066406,1.0
1940-06-11,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,5.559700012207031,1.0
1940-06-12,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,5.420300006866455,1.0
1940-06-13,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,5.260799884796143,1.0
1940-06-14,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,5.140900135040283,1.0
1940-06-15,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,5.889100074768066,1.0
1940-06-16,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,6.636600017547607,1.0
1940-06-17,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,7.326399803161621,1.0
1940-06-18,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,7.717399597167969,1.0
1940-06-19,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,7.741499900817871,1.0
1940-06-20,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,7.443199634552002,1.0
1940-06-21,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,7.103000164031982,1.0
1940-06-22,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,6.630099773406982,1.0
1940-06-23,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,6.085899829864502,1.0
1940-06-24,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,5.217800140380859,1.0
1940-06-25,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,4.729800224304199,1.0
1940-06-26,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,4.331200122833252,1.0
1940-06-27,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,3.9282000064849854,0.0
1940-06-28,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,3.818300247192383,0.0
1940-06-29,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,4.225500106811523,0.0
1940-06-30,12286.088806152344,5830.401084899902,2992.26953125,4517.20654296875,480.165283203125,4.861600399017334,0.0
1940-07-01,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,5.50570011138916,1.0
1940-07-02,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,6.192999839782715,1.0
1940-07-03,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,6.735799789428711,1.0
1940-07-04,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,7.094000339508057,1.0
1940-07-05,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,7.4243998527526855,1.0
1940-07-06,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,7.3784003257751465,1.0
